Tema,Tarefas
Programação em Python,Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Cria um website simples que explique {tema} para iniciantes.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Escreve um código de programação simples que ilustre um conceito de {tema}.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.
Evolução das Espécies,Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Escreve um código de programação simples que ilustre um conceito de {tema}.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Cria um enigma ou puzzle matemático baseado em {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.
Direitos Humanos,Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}.; Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Elabora um workshop educativo prático sobre {tema}.
História da Medicina,Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.
O Sistema Solar,Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.
Desenvolvimento Sustentável,Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Pesquisa como {tema} é abordado em diferentes culturas e países.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Faz um diagrama ilustrado detalhando o funcionamento de {tema}.; Encontra e analisa um caso real que envolva {tema}.; Escreve um código de programação simples que ilustre um conceito de {tema}.
Grandes Descobrimentos,Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Escreve um discurso político que mencione a importância de {tema}.; Pesquisa como {tema} está ligado a outra área do conhecimento e explica a conexão.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.
Ética na Inteligência Artificial,Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Cria um website simples que explique {tema} para iniciantes.; Encontra um documentário sobre {tema} e faz um resumo dos pontos principais.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Desenha um infográfico para explicar {tema} de forma visual.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.
Arte Renascentista,Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Elabora um workshop educativo prático sobre {tema}.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Escreve um argumento defendendo e outro contra {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}.
Direitos Humanos,Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Escreve um discurso político que mencione a importância de {tema}.; Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.
Robótica e Automação,Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.
Filósofos Gregos,Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Desenha um infográfico para explicar {tema} de forma visual.; Escreve um ensaio sobre como {tema} influencia a sociedade atual.
Física de Partículas,Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Escreve um discurso político que mencione a importância de {tema}.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Cria uma experiência científica para demonstrar um princípio de {tema}.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.
Linguística e Origem das Línguas,Explica {tema} em apenas 5 frases para um amigo que nunca ouviu falar sobre isso.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Desenha um infográfico para explicar {tema} de forma visual.; Pesquisa e resume um artigo científico sobre {tema}.; Pesquisa como {tema} é abordado em diferentes culturas e países.
História da Medicina,Pesquisa e resume um artigo científico sobre {tema}.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.
Astronomia Observacional,Faz um estudo estatístico e analisa gráficos sobre {tema}.; Cria um jogo de cartas onde cada carta tem um conceito sobre {tema}.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Pesquisa e resume um artigo científico sobre {tema}.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.
Arte Renascentista,Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Faz um jogo de perguntas e respostas sobre {tema} para testar os teus conhecimentos.; Desenvolve um podcast curto sobre {tema} e partilha com colegas.; Elabora um plano de aula sobre {tema} para ensinar a um aluno do 9º ano.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Pesquisa e resume um artigo científico sobre {tema}.
Física de Partículas,Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Cria um desafio de 30 dias para aprender algo novo sobre {tema} todos os dias.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Escreve um discurso político que mencione a importância de {tema}.; Cria um mapa mental sobre {tema} com pelo menos 5 tópicos principais.
Robótica e Automação,Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Cria um jogo de tabuleiro onde {tema} é a base da mecânica do jogo.; Elabora um relatório sobre os desafios futuros relacionados com {tema}.; Cria um website simples que explique {tema} para iniciantes.; Cria uma experiência científica para demonstrar um princípio de {tema}.
Segunda Guerra Mundial,"Escreve um poema ou música sobre {tema}.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Escreve uma história fictícia onde {tema} desempenha um papel crucial.; Cria um diário de estudo para aprender sobre {tema} em 5 dias.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.; Faz um estudo estatístico e analisa gráficos sobre {tema}."
História da Medicina,Escreve um código de programação simples que ilustre um conceito de {tema}.; Pesquisa sobre as aplicações modernas de {tema} na tecnologia.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}.
Realidade Virtual e Aumentada,Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Pesquisa e resume um artigo científico sobre {tema}.; Faz um pequeno vídeo explicando {tema} como se fosses um professor.; Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Faz uma simulação real ou virtual de um fenómeno relacionado a {tema}.; Faz um debate com um amigo sobre {tema} e anota os pontos principais.
Eletricidade e Magnetismo,Cria um enigma ou puzzle matemático baseado em {tema}.; Faz uma comparação entre {tema} e um conceito semelhante de outra área.; Cria um diário fictício de alguém que viveu um evento histórico ligado a {tema}.; Cria um TikTok educativo explicando um conceito de {tema} de forma criativa.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.
Robótica e Automação,"Desenha um cartaz explicativo sobre {tema} e coloca na tua escola.; Elabora um workshop educativo prático sobre {tema}.; Cria um website simples que explique {tema} para iniciantes.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}.; Pesquisa e resume um artigo científico sobre {tema}.; Escreve um guião para um vídeo de YouTube educativo sobre {tema}."
Evolução das Espécies,"Cria um website simples que explique {tema} para iniciantes.; Desenha uma linha do tempo dos eventos mais importantes de {tema}.; Escreve um discurso político que mencione a importância de {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Escreve um artigo de opinião sobre a importância de {tema} na sociedade.; Cria um guia de estudo com resumos, exercícios e dicas sobre {tema}."
Reações Químicas,Cria uma apresentação em PowerPoint sobre os conceitos principais de {tema}.; Faz uma entrevista com um especialista na área de {tema} e resume os pontos-chave.; Desenvolve uma app ou jogo educativo para ensinar sobre {tema}.; Descobre 3 mitos sobre {tema} e desmistifica-os com base científica.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Escreve um poema ou música sobre {tema}.
Física de Partículas,Cria um quiz de 10 perguntas sobre {tema} e testa os teus amigos.; Descobre uma inovação recente relacionada a {tema} e explica como funciona.; Desenha um infográfico para explicar {tema} de forma visual.; Cria um enigma ou puzzle matemático baseado em {tema}.; Imagina que vives num mundo sem {tema}. Como seria o impacto na tua vida?; Pesquisa e resume um artigo científico sobre {tema}.
